Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
phoenix-sky-harbor,2006,3,1,69.5,24,46.5,24,1014.3,24,975.6,24,9.9,24,6.5,24,13,NULL,81,explicit,59,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,2,65.3,24,34.8,24,1014.2,24,975.3,24,10,24,3.8,24,8.9,NULL,79,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,3,65,24,25.4,24,1012.4,24,973.6,24,10,24,6.5,24,11.8,15.9,80.1,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,4,62.8,24,22.3,24,1013.7,24,974.8,24,10,24,4.6,24,10.9,NULL,80.1,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,5,63.1,24,21.5,24,1018.6,24,979.4,24,10,24,3.9,24,7,NULL,80.1,explicit,48.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,6,64.7,24,15.6,24,1018.1,24,979.1,24,10,24,4.2,24,10.9,NULL,80.1,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,7,66.5,24,23.3,24,1016.3,24,977.5,24,10,24,4.5,24,15,18.8,78.1,explicit,52,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,8,61.8,24,31.9,24,1011.5,24,972.7,24,10,24,12.1,24,21.8,25.8,78.1,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,9,56.6,24,27.3,24,1009.9,24,970.9,24,10,24,5.7,24,9.9,NULL,69.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,10,60.2,24,29.2,24,1003.8,24,965.1,24,9.9,24,11.7,24,20.8,29.7,69.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,3,11,49.5,24,36.9,24,1006.7,24,967.1,12,8.7,24,8.5,24,21,NULL,61,hourly,42.8,hourly,0.15,24,G,NULL,0,1,0,0,0,0
phoenix-sky-harbor,2006,3,12,46.3,24,37,24,1013.7,24,976.2,17,8.3,24,8.5,24,12.8,17.9,61,explicit,42.1,explicit,1.29,24,G,NULL,0,1,0,0,0,0
